97494.880 916211.680     271.990 SOFT 2
97490.770 916220.360     271.830 SOFT 2
97487.160 916228.710     271.830 SOFT 2
97484.780 916236.880     271.750 SOFT 2
97482.730 916245.130     271.170 SOFT 2
97480.680 916253.540     271.010 SOFT 2
97477.810 916261.960     270.760 SOFT 2
97474.660 916268.330     270.760 SOFT 2
97472.330 916273.540     270.760 SOFT 4
97619.300 916005.160     266.320 SOFT 1
97620.350 916011.070     266.320 SOFT 2
97622.170 916020.350     266.320 SOFT 2
97623.490 916028.320     266.320 SOFT 2
97625.470 916036.030     266.320 SOFT 2
97628.100 916043.650     265.990 SOFT 2
97631.060 916051.850     265.910 SOFT 2
97634.270 916059.550     265.820 SOFT 2
97637.310 916066.760     265.490 SOFT 2
97639.940 916074.220     265.250 SOFT 2
97642.410 916082.420     265.250 SOFT 2
97644.480 916091.200     265.170 SOFT 2
97646.150 916100.970     265.080 SOFT 2
97648.320 916111.400     265.000 SOFT 2
97650.730 916121.740     264.670 SOFT 2
97653.380 916131.090     264.510 SOFT 2
97656.110 916140.270     264.510 SOFT 2
97658.270 916149.630     264.510 SOFT 2
97659.440 916159.080     264.430 SOFT 2
97659.630 916168.950     263.770 SOFT 2
97659.650 916179.070     263.270 SOFT 2
97659.350 916189.520     263.110 SOFT 2
97658.140 916199.650     262.780 SOFT 2
97656.680 916209.130     262.200 SOFT 2
97656.520 916217.440     262.040 SOFT 2
97658.250 916224.910     262.040 SOFT 2
97660.860 916230.400     262.040 SOFT 2
97663.930 916233.000     262.040 SOFT 2
97670.090 916232.270     262.040 SOFT 2
97676.140 916228.510     262.040 SOFT 2
97681.530 916224.580     262.040 SOFT 2
97687.310 916219.250     262.040 SOFT 2
97693.660 916213.100     262.040 SOFT 2
97700.190 916207.350     262.040 SOFT 2
97706.810 916203.250     262.040 SOFT 2
97713.850 916200.540     262.040 SOFT 2
97721.470 916197.580     262.040 SOFT 2
97728.670 916193.140     262.040 SOFT 2
97734.850 916187.240     262.040 SOFT 2
97740.300 916181.250     262.200 SOFT 2
97744.690 916175.610     262.200 SOFT 2
97748.080 916169.900     262.200 SOFT 2
97751.140 916163.530     262.200 SOFT 2
97753.700 916156.510     262.940 SOFT 2
97755.180 916148.850     263.360 SOFT 2
97756.160 916140.200     263.360 SOFT 2
97756.640 916131.550     263.600 SOFT 2
97756.640 916123.410     264.100 SOFT 2
97755.560 916115.360     264.100 SOFT 2
97753.990 916106.820     264.100 SOFT 2
97751.760 916098.120     264.100 SOFT 2
97748.460 916089.520     264.100 SOFT 2
97746.800 916080.320     264.100 SOFT 2
97747.530 916071.590     264.590 SOFT 2
97748.030 916064.260     264.920 SOFT 2
97746.070 916058.440     264.920 SOFT 2
97741.740 916053.060     265.000 SOFT 2
97735.850 916048.600     265.660 SOFT 2
97729.220 916044.720     265.660 SOFT 2
97721.700 916041.010     265.660 SOFT 2
97714.330 916037.060     265.660 SOFT 2
97707.140 916033.520     265.490 SOFT 2
97699.770 916029.650     265.490 SOFT 2
97691.920 916025.860     265.490 SOFT 2
97683.900 916022.160     265.490 SOFT 2
97676.950 916018.780     265.490 SOFT 2
97674.550 916017.490     265.490 SOFT 4
97668.130 916403.670     260.150 SOFT 1
97674.350 916400.560     260.230 SOFT 2
97682.220 916397.180     260.310 SOFT 2
97691.890 916394.280     260.310 SOFT 2
97701.330 916392.290     260.390 SOFT 2
97708.860 916388.180     260.480 SOFT 2
97715.770 916380.870     260.890 SOFT 2
97722.660 916371.170     260.970 SOFT 2
97725.650 916365.370     260.970 SOFT 2
97728.130 916359.340     260.970 SOFT 2
97730.370 916353.150     260.970 SOFT 2
97732.440 916346.870     260.970 SOFT 2
97734.190 916340.770     260.970 SOFT 2
97735.440 916334.660     260.970 SOFT 2
97736.280 916328.570     261.050 SOFT 2
97736.700 916322.230     261.130 SOFT 2
97736.960 916315.640     261.300 SOFT 2
97736.970 916308.730     261.300 SOFT 2
97736.900 916301.990     261.300 SOFT 2
97736.500 916295.410     261.300 SOFT 2
97735.440 916288.760     261.300 SOFT 2
97733.810 916282.110     261.300 SOFT 2
97732.010 916275.790     261.300 SOFT 2
97730.220 916269.560     261.380 SOFT 2
97728.430 916263.570     261.380 SOFT 2
97725.440 916253.400     261.960 SOFT 2
97723.290 916245.030     262.370 SOFT 2
97722.310 916237.640     262.370 SOFT 2
97722.650 916231.050     262.370 SOFT 2
97723.740 916225.280     262.370 SOFT 4
97692.640 916263.620     261.220 SOFT 1
97692.720 916271.520     261.220 SOFT 2
97693.790 916279.330     261.220 SOFT 2
97696.350 916287.440     261.220 SOFT 2
97698.910 916296.300     261.220 SOFT 2
97699.500 916305.350     261.220 SOFT 2
97697.530 916313.680     261.220 SOFT 2
97692.830 916319.980     261.220 SOFT 2
97686.540 916323.910     261.220 SOFT 2
97679.490 916326.380     261.130 SOFT 2
97672.290 916330.480     261.050 SOFT 2
97666.600 916336.630     261.050 SOFT 2
97663.550 916344.480     260.720 SOFT 2
97660.920 916352.570     260.310 SOFT 2
97658.710 916360.490     260.150 SOFT 2
97657.390 916367.990     260.150 SOFT 2
97657.710 916375.640     259.820 SOFT 2
97659.510 916382.040     259.650 SOFT 2
97663.040 916389.330     259.650 SOFT 2
97664.210 916390.960     259.650 SOFT 4
97841.300 916070.180     272.080 SOFT 1
97834.390 916070.170     270.840 SOFT 2
97826.900 916070.000     269.360 SOFT 2
97819.170 916069.670     268.620 SOFT 2
97810.770 916069.430     267.720 SOFT 2
97802.040 916067.960     266.890 SOFT 2
97793.700 916065.090     266.650 SOFT 2
97786.590 916062.370     266.650 SOFT 2
97779.760 916062.030     266.560 SOFT 2
97773.760 916063.080     266.320 SOFT 2
97769.740 916063.700     266.070 SOFT 4
97889.130 916118.870     283.430 SOFT 1
97892.090 916126.160     284.830 SOFT 2
97893.080 916134.380     286.720 SOFT 2
97892.820 916140.710     288.280 SOFT 2
97892.730 916147.870     290.180 SOFT 2
97892.970 916154.950     291.490 SOFT 2
97894.610 916161.840     292.480 SOFT 2
97897.310 916168.890     293.960 SOFT 2
97900.370 916177.250     294.370 SOFT 2
97903.100 916186.350     294.620 SOFT 2
97904.840 916196.120     295.440 SOFT 2
97905.610 916206.150     295.690 SOFT 2
97905.220 916215.950     295.690 SOFT 2
97903.280 916226.740     295.690 SOFT 2
97900.680 916237.380     295.520 SOFT 2
97898.230 916247.200     294.700 SOFT 2
97896.440 916257.010     294.540 SOFT 2
97895.650 916267.960     294.540 SOFT 2
97897.340 916279.380     294.540 SOFT 2
97900.500 916290.120     294.540 SOFT 2
97903.310 916299.560     296.430 SOFT 2
97904.720 916308.260     297.740 SOFT 2
97904.000 916317.650     298.480 SOFT 2
97902.620 916327.120     299.310 SOFT 2
97901.150 916336.270     299.310 SOFT 2
97900.180 916345.500     299.310 SOFT 2
97899.540 916354.640     299.310 SOFT 2
97899.290 916361.960     298.480 SOFT 2
97899.370 916369.530     298.070 SOFT 2
97899.390 916371.340     298.070 SOFT 4
98009.380 916408.840     296.760 SOFT 1
98005.580 916400.320     296.760 SOFT 2
98001.560 916393.450     296.760 SOFT 2
